"KEGG ID","Names","chEBI","Occurence"
"C00001","H2O|Water","15377","3383"
"C00002","ATP|Adenosine 5'-triphosphate","15422","570"
"C00003","NAD+|NAD|Nicotinamide adenine dinucleotide|DPN|Diphosphopyridine nucleotide|Nadide|beta-NAD+","15846","909"
"C00004","NADH|DPNH|Reduced nicotinamide adenine dinucleotide","16908","895"
"C00005","NADPH|TPNH|Reduced nicotinamide adenine dinucleotide phosphate","16474","1175"
"C00006","NADP+|NADP|Nicotinamide adenine dinucleotide phosphate|beta-Nicotinamide adenine dinucleotide phosphate|TPN|Triphosphopyridine nucleotide|beta-NADP+","18009","1177"
"C00007","Oxygen|O2","15379","1464"
"C00008","ADP|Adenosine 5'-diphosphate","16761","402"
"C00009","Orthophosphate|Phosphate|Phosphoric acid|Orthophosphoric acid","18367|26078","500"
"C00010","CoA|Coenzyme A|CoA-SH","15346","556"
"C00011","CO2|Carbon dioxide","16526","604"
"C00012","Peptide","16670","9"
"C00013","Diphosphate|Diphosphoric acid|Pyrophosphate|Pyrophosphoric acid|PPi","18361|29888","537"
"C00014","Ammonia|NH3","16134","362"
"C00015","UDP|Uridine 5'-diphosphate","17659","336"
"C00016","FAD|Flavin adenine dinucleotide","16238","59"
"C00017","Protein","16541","13"
"C00018","Pyridoxal phosphate|Pyridoxal 5-phosphate|Pyridoxal 5'-phosphate|PLP","18405","11"
"C00019","S-Adenosyl-L-methionine|S-Adenosylmethionine|AdoMet|SAM","15414|67040","405"
"C00020","AMP|Adenosine 5'-monophosphate|Adenylic acid|Adenylate|5'-AMP|5'-Adenylic acid|5'-Adenosine monophosphate|Adenosine 5'-phosphate","16027","210"
"C00021","S-Adenosyl-L-homocysteine|S-Adenosylhomocysteine","16680","370"
"C00022","Pyruvate|Pyruvic acid|2-Oxopropanoate|2-Oxopropanoic acid|Pyroracemic acid","32816","184"
"C00023","Iron","18248","0"
"C00024","Acetyl-CoA|Acetyl coenzyme A","15351","199"
"C00025","L-Glutamate|L-Glutamic acid|L-Glutaminic acid|Glutamate","16015","169"
"C00026","2-Oxoglutarate|Oxoglutaric acid|2-Ketoglutaric acid|alpha-Ketoglutaric acid","30915","218"
"C00027","Hydrogen peroxide|H2O2|Oxydol","16240","227"
"C00028","Acceptor|Hydrogen-acceptor|A|Oxidized donor","15339","226"
