"Pathway1 KEGG","Pathway2 KEGG","Connecting reactions","Connection metabolites"
"map00010","map00030","R01058|R01070|R02739|R02740|R04779|R04780|R09084|R10860","C00118|C00006|C00001|C00197|C00005|C00080|C05378|C00111|C00668|C01172|C05345|C00002|C00008|C00009|C00020|C00003|C00004"
"map00010","map00500","R00959|R00960|R01786|R01788|R02740","C00103|C00668|C01231|C00267|C00002|C00008|C00001|C00009|C05345"
"map00010","map00620","R00014|R00200|R00229|R00341|R00431|R00703|R00710|R00711|R00726|R01196|R02569|R03270|R07618","C00022|C00068|C05125|C00011|C00002|C00008|C00074|C00033|C00010|C00024|C00009|C00036|C00044|C00035|C00186|C00003|C00004|C00080|C00084|C00001|C00006|C00005|C00081|C00104|C00138|C00139|C15973|C16255|C15972"
"map00010","map00020","R00014|R00341|R00431|R00726|R01196|R02569|R03270|R07618","C00022|C00068|C05125|C00011|C00002|C00036|C00008|C00074|C00044|C00035|C00081|C00104|C00138|C00024|C00080|C00139|C00010|C15973|C16255|C15972|C00003|C00004"
"map00010","map00010","R00014|R00200|R00229|R00235|R00341|R00431|R00658|R00703|R00710|R00711|R00726|R00746|R00754|R00755|R00947|R00959|R00960|R01015|R01058|R01061|R01063|R01070|R01196|R01512|R01516|R01518|R01600|R01602|R01662|R01786|R01788|R02187|R02189|R02569|R02738|R02739|R02740|R03270|R03321|R04394|R04779|R04780|R05132|R05133|R05134|R05198|R07159|R07618|R09084|R09085|R09086|R09127|R09532|R10860","C00022|C00068|C05125|C00011|C00002|C00008|C00074|C00033|C00010|C00024|C00009|C00020|C00013|C00036|C00044|C00035|C00631|C00001|C00186|C00003|C00004|C00080|C00084|C00006|C00005|C00081|C00104|C00469|C00103|C00267|C00668|C01231|C00118|C00111|C00197|C00236|C05378|C00138|C00139|C01159|C00221|C01172|C00404|C15973|C16255|C04261|C00031|C00615|C05345|C15972|C01451|C06188|C06186|C06187|C00530|C02323|C00125|C00126|C18233|C18234"
"map00010","map00640","",""
"map00010","map00710","R00341|R01015|R01061|R01063|R01512","C00002|C00036|C00008|C00074|C00011|C00118|C00111|C00009|C00003|C00236|C00004|C00080|C00006|C00005|C00197"
"map00020","map00630","R00342|R00351|R01325|R01900","C00149|C00003|C00036|C00004|C00080|C00158|C00010|C00024|C00001|C00417|C00311"
"map00020","map00010","R00014|R00341|R00431|R00726|R01196|R02569|R03270|R07618","C00022|C00068|C05125|C00011|C00002|C00036|C00008|C00074|C00044|C00035|C00081|C00104|C00138|C00024|C00080|C00139|C00010|C15973|C16255|C15972|C00003|C00004"
"map00020","map00061","",""
"map00020","map00062","",""
"map00020","map00071","",""
"map00020","map00053","",""
"map00020","map00250","",""
"map00020","map00020","R00014|R00268|R00341|R00342|R00344|R00351|R00352|R00361|R00405|R00431|R00432|R00621|R00709|R00726|R00727|R01082|R01196|R01197|R01325|R01899|R01900|R02164|R02569|R02570|R03270|R03316|R07618|R10343","C00022|C00068|C05125|C00011|C05379|C00026|C00002|C00036|C00008|C00074|C00149|C00003|C00004|C00080|C00288|C00009|C00158|C00010|C00024|C00001|C15602|C15603|C00042|C00091|C00044|C00035|C05381|C00311|C00081|C00104|C00122|C00138|C00139|C00417|C00006|C00005|C15973|C16255|C16254|C15972|C00033"
"map00020","map00350","",""
"map00020","map00280","R07618","C15973|C00003|C15972|C00004|C00080"
"map00020","map00250","",""
"map00020","map00330","",""
"map00020","map00471","",""
"map00020","map00280","R07618","C15973|C00003|C15972|C00004|C00080"
"map00030","map00010","R01058|R01070|R02739|R02740|R04779|R04780|R09084|R10860","C00118|C00006|C00001|C00197|C00005|C00080|C05378|C00111|C00668|C01172|C05345|C00002|C00008|C00009|C00020|C00003|C00004"
"map00030","map00010","R01058|R01070|R02739|R02740|R04779|R04780|R09084|R10860","C00118|C00006|C00001|C00197|C00005|C00080|C05378|C00111|C00668|C01172|C05345|C00002|C00008|C00009|C00020|C00003|C00004"
"map00030","map00040","R01529","C00199|C00231"
"map00030","map00230","R01049|R01057","C00002|C00117|C00020|C00119|C00620"
"map00030","map00030","R00305|R01049|R01051|R01056|R01057|R01058|R01066|R01070|R01519|R01520|R01521|R01522|R01528|R01529|R01538|R01541|R01544|R01621|R01641|R01737|R01739|R01741|R01827|R01830|R02032|R02034|R02035|R02036|R02658|R02736|R02739|R02740|R02749|R02750|R04779|R04780|R05338|R05605|R06620|R06836|R06837|R07147|R08570|R08571|R08572|R09084|R09780|R10324|R10407|R10408|R10615|R10860","C00031|C15602|C00198|C15603|C00002|C00117|C00020|C00119|C00121|C00008|C00199|C00620|C00118|C00006|C00001|C00197|C00005|C00080|C00673|C00084|C05378|C00111|C00257|C00221|C00003|C00004|C00007|C00027|C00345|C00011|C00231|C00204|C04442|C03752|C00014|C00009|C00227|C05382|C06473|C00016|C01352|C00279|C05345|C01218|C01236|C01172|C00668|C00672|C01801|C00067|C06019|C00022|C00399|C00390|C01151|C00577|C00139|C00258|C00138|C00631|C00028|C00030|C04261|C20589|C00615"
"map00030","map00240","",""
"map00030","map00340","",""
"map00030","map00040","R01529","C00199|C00231"
"map00030","map00052","",""
"map00030","map00052","",""
"map00040","map00010","",""
"map00040","map00562","",""
