"Pathway ID","Pathway KEGG","Reaction KEGG ID"
"0","map00010","R00014"
"0","map00010","R00200"
"0","map00010","R00229"
"0","map00010","R00235"
"0","map00010","R00341"
"0","map00010","R00431"
"0","map00010","R00658"
"0","map00010","R00703"
"0","map00010","R00710"
"0","map00010","R00711"
"0","map00010","R00726"
"0","map00010","R00746"
"0","map00010","R00754"
"0","map00010","R00755"
"0","map00010","R00947"
"0","map00010","R00959"
"0","map00010","R00960"
"0","map00010","R01015"
"0","map00010","R01058"
"0","map00010","R01061"
"0","map00010","R01063"
"0","map00010","R01070"
"0","map00010","R01196"
"0","map00010","R01512"
"0","map00010","R01516"
"0","map00010","R01518"
"0","map00010","R01600"
"0","map00010","R01602"
"0","map00010","R01662"
"0","map00010","R01786"
"0","map00010","R01788"
"0","map00010","R02187"
"0","map00010","R02189"
"0","map00010","R02569"
"0","map00010","R02738"
"0","map00010","R02739"
"0","map00010","R02740"
"0","map00010","R03270"
"0","map00010","R03321"
"0","map00010","R04394"
"0","map00010","R04779"
"0","map00010","R04780"
"0","map00010","R05132"
"0","map00010","R05133"
"0","map00010","R05134"
"0","map00010","R05198"
"0","map00010","R07159"
"0","map00010","R07618"
"0","map00010","R09084"
"0","map00010","R09085"
"0","map00010","R09086"
"0","map00010","R09127"
"0","map00010","R09532"
"0","map00010","R10860"
"1","map00020","R00014"
"1","map00020","R00268"
"1","map00020","R00341"
"1","map00020","R00342"
"1","map00020","R00344"
"1","map00020","R00351"
"1","map00020","R00352"
"1","map00020","R00361"
"1","map00020","R00405"
"1","map00020","R00431"
"1","map00020","R00432"
"1","map00020","R00621"
"1","map00020","R00709"
"1","map00020","R00726"
"1","map00020","R00727"
"1","map00020","R01082"
"1","map00020","R01196"
"1","map00020","R01197"
"1","map00020","R01325"
"1","map00020","R01899"
"1","map00020","R01900"
"1","map00020","R02164"
"1","map00020","R02569"
"1","map00020","R02570"
"1","map00020","R03270"
"1","map00020","R03316"
"1","map00020","R07618"
"1","map00020","R10343"
"2","map00030","R00305"
"2","map00030","R01049"
"2","map00030","R01051"
"2","map00030","R01056"
"2","map00030","R01057"
"2","map00030","R01058"
"2","map00030","R01066"
"2","map00030","R01070"
"2","map00030","R01519"
"2","map00030","R01520"
"2","map00030","R01521"
"2","map00030","R01522"
"2","map00030","R01528"
"2","map00030","R01529"
"2","map00030","R01538"
"2","map00030","R01541"
"2","map00030","R01544"
"2","map00030","R01621"
"2","map00030","R01641"
"2","map00030","R01737"
"2","map00030","R01739"
"2","map00030","R01741"
"2","map00030","R01827"
"2","map00030","R01830"
"2","map00030","R02032"
"2","map00030","R02034"
"2","map00030","R02035"
