"Reaction KEGG ID","Reactants","Products","Reversability","EC list","Occurences","Names"
"R00001","C00404|C00001","C02174","1","3.6.1.10","0","polyphosphate polyphosphohydrolase"
"R00002","C00002|C00001|C00138","C05359|C00009|C00008|C00139","1","1.18.6.1","0","Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"
"R00004","C00013|C00001","C00009","1","3.6.1.1","0","diphosphate phosphohydrolase|diphosphate phosphohydrolase|pyrophosphate phosphohydrolase"
"R00005","C01010|C00001","C00011|C00014","1","3.5.1.54","4","urea-1-carboxylate amidohydrolase"
"R00006","C00900|C00011","C00022","1","2.2.1.6","1","pyruvate:pyruvate acetaldehydetransferase (decarboxylating)|pyruvate:pyruvate acetaldehydetransferase (decarboxylating)|2-acetolactate pyruvate-lyase (carboxylating)"
"R00008","C06033","C00022","1","4.1.3.17","3","4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)"
"R00009","C00027","C00007|C00001","1","1.11.1.6|1.11.1.21","2","hydrogen-peroxide:hydrogen-peroxide oxidoreductase"
"R00010","C01083|C00001","C00031","1","3.2.1.28","2","alpha,alpha-trehalose glucohydrolase"
"R00011","C19610|C00027|C00080","C19611|C00001","1","1.11.1.13","0","Mn(II):hydrogen-peroxide oxidoreductase"
"R00012","C00044","C00013|C01261","1","2.7.7.45","0","GTP:GTP guanylyltransferase"
"R00013","C00048","C01146|C00011","1","4.1.1.47","2","glyoxylate carboxy-lyase (dimerizing tartronate-semialdehyde-forming)"
"R00014","C00022|C00068","C05125|C00011","1","1.2.4.1|2.2.1.6|4.1.1.1","5","pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)"
"R00015","C00089","C00031|C03661","1","2.4.1.99","0","sucrose:sucrose 1'-beta-D-fructosyltransferase|sucrose:sucrose 1'-beta-D-fructosyltransferase|sucrose:sucrose 1F-beta-D-fructosyltransferase"
"R00017","C00027|C00126","C00125|C00001","1","1.11.1.5","0","ferrocytochrome-c:hydrogen-peroxide oxidoreductase"
"R00018","C00134","C06366|C00014","1","2.5.1.44","2","putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)"
"R00019","C00138|C00080","C00282|C00139","1","1.12.7.2|1.12.99.-","0","hydrogen:ferredoxin oxidoreductase|hydrogen:ferredoxin oxidoreductase|reduced ferredoxin:H+ oxidoreductase"
"R00021","C00025|C00139","C00064|C00026|C00138|C00080","1","1.4.7.1","3","L-glutamate:ferredoxin oxidoreductase (transaminating)"
"R00022","C01674|C00001","C00140","1","3.2.1.52","2","chitobiose N-acetylglucosaminohydrolase"
"R00023","C00192|C00003","C01818|C00004|C00080","1","1.7.1.5","0","hydroxylamine:NAD+ oxidoreductase|hydroxylamine:NAD+ oxidoreductase|NADH:hyponitrite oxidoreductase"
"R00024","C01182|C00011|C00001","C00197","1","4.1.1.39","4","3-phospho-D-glycerate carboxy-lyase (dimerizing D-ribulose-1,5-bisphosphate-forming)"
"R00025","C18091|C00007|C01847","C00084|C00088|C00061|C00001","1","1.13.12.16","1","ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)"
"R00026","C00185|C00001","C00221","1","3.2.1.21","2","cellobiose glucohydrolase"
"R00027","C01408","C00261","1","4.1.2.38","0","2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)"
"R00028","C00208|C00001","C00267","1","3.2.1.20","2","maltose glucohydrolase"
"R00029","C00320|C00125","C02084|C00126","1","1.8.2.2","0","thiosulfate:ferricytochrome-c oxidoreductase"
"R00031","C00007|C00082","C00355","1","1.10.3.1|1.14.18.1","4","1,2-benzenediol:oxygen oxidoreductase"
"R00032","C02094|C00007","C00376","1","1.13.11.63|1.14.99.36","2","beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)"
"R00033","C00378|C00007","C00027|C05856","1","1.1.3.23","2","thiamine:oxygen 5-oxidoreductase"
"R00034","C03103","C08249","1","4.1.99.3","0","Cyclobutadipyrimidine (in DNA) pyrimidine-lyase"
"R00036","C00430","C00931|C00001","1","4.2.1.24","3","5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing porphobilinogen-forming)"
"R00038","C00479","C02948","1","4.1.2.35","0","4-hydroxy-3-hexanone propanal-lyase (propanal-forming)"
"R00039","C00492","C08242|C00089","1","2.4.1.166","0","raffinose:raffinose 1F-alpha-D-galactosyltransferase"
"R00041","C00339|C00007","C00609|C00001","1","1.1.3.20","0","long-chain-alcohol:oxygen oxidoreductase"
"R00042","C01179|C00007","C00642|C00011","1","1.2.3.13","1","4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)"
"R00043","C04547|C00007","C00755","1","1.13.11.43","0","1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)"
"R00044","C01795|C00007","C00757|C00001","1","1.21.3.2","2","columbamine:oxygen oxidoreductase (cyclizing)"
"R00045","C00007|C00355","C00822|C00001","1","1.10.3.1|1.14.18.1","2","3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase"
"R00047","C00007|C01020|C00030","C01059|C00011|C00028|C00001","1","1.14.99.-","0","6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)"
"R00048","C04546|C00001","C01089","1","3.1.1.22","1","(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase"
"R00049","C01158","C00031|C04101","1","2.3.1.90","0","1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase"
"R00052","C00027|C01371|C01327","C01334|C00001","1","1.11.1.10","0","chloride:hydrogen-peroxide oxidoreductase"
"R00053","C01572|C00001","C01424","1","3.1.1.20","0","digallate acylhydrolase|digallate acylhydrolase|tannin acylhydrolase"
"R00054","C02868|C00001","C01839","1","3.1.1.40","0","orsellinate-depside hydrolase"
"R00055","C00294|C00007","C01993|C00001","1","1.1.3.28","0","inosine:oxygen 5'-oxidoreductase"
"R00056","C01910|C00001","C02171","1","3.6.1.9","0","dinucleotide nucleotidohydrolase"
"R00057","C00007|C01525","C02318|C00027","1","1.8.3.2","0","thiol:oxygen oxidoreductase"
"R00058","C00007|C00090","C02351|C00001","1","1.10.3.1|1.14.18.1","0","catechol:oxygen oxidoreductase|catechol:oxygen oxidoreductase|1,2-benzenediol:oxygen oxidoreductase"
"R00059","C01255|C00001","C02378","1","3.5.1.46","0","N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase"
"R00060","C00007|C00495","C03036|C00001","1","1.21.3.4","0","Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)"
"R00061","C00007|C00495","C03040|C00001","1","1.21.3.5","0","Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)"
"R00062","C03374","C00486|C05787","1","2.4.1.95","0","bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase"
"R00063","C01175","C04275|C00031","1","2.3.1.103","0","1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase|1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase|1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase"
"R00066","C04332","C00255|C04732","1","2.5.1.9","2","6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase"
"R00067","C05359|C00080","C00282","1","1.18.6.1","0","Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"
"R00068","C00007|C00072","C05422|C00001","1","1.10.3.3","2","L-ascorbate:oxygen oxidoreductase"
"R00069","C05565|C00027","C03680|C00007|C00001","1","1.14.13.-|1.17.3.2","1","4-imidazolone-5-propanoate:oxygen oxidoreductase"
